//X Y Z Scalar_field Scalar_field_#2 Scalar_field_#3
11.903300 -1.684300 2254.821533 1531.0000 833.0000 1299.0000
11.891600 -1.688200 2254.826904 1531.0000 834.0000 1293.0000
11.883900 -1.682900 2254.826172 1531.0000 835.0000 1317.0000
11.870800 -1.666000 2254.820313 1531.0000 837.0000 1306.0000
11.856200 -1.675700 2254.829834 1531.0000 838.0000 1323.0000
11.845000 -1.677100 2254.833740 1531.0000 839.0000 1365.0000
11.842900 -1.657200 2254.823242 1531.0000 840.0000 1283.0000
11.939700 -1.644700 2254.775635 1532.0000 831.0000 1250.0000
11.918700 -1.647500 2254.783203 1532.0000 833.0000 1339.0000
11.900300 -1.666900 2254.799316 1532.0000 834.0000 1303.0000
11.889600 -1.668800 2254.803467 1532.0000 835.0000 1298.0000
11.866800 -1.674300 2254.812988 1532.0000 837.0000 1311.0000
11.855300 -1.676900 2254.817627 1532.0000 838.0000 1373.0000
11.844000 -1.678500 2254.821777 1532.0000 839.0000 1257.0000
11.937600 -1.672500 2254.778809 1533.0000 830.0000 1257.0000
11.914600 -1.679100 2254.789063 1533.0000 832.0000 1314.0000
11.905600 -1.653700 2254.777100 1533.0000 834.0000 1334.0000
11.855500 -1.675700 2254.803711 1533.0000 838.0000 1306.0000
11.847100 -1.670500 2254.802979 1533.0000 839.0000 1250.0000
11.923100 -1.872100 2254.881836 1534.0000 823.0000 931.0000
11.907300 -1.695300 2254.786865 1534.0000 832.0000 1311.0000
11.860400 -1.663300 2254.781982 1534.0000 838.0000 1313.0000
12.087800 -1.939100 2254.861572 1535.0000 804.0000 1034.0000
11.971700 -1.662000 2254.737061 1535.0000 827.0000 1286.0000
11.910500 -1.686900 2254.768066 1535.0000 832.0000 1309.0000
11.915700 -1.651600 2254.746826 1535.0000 833.0000 1309.0000
11.862500 -1.657500 2254.764893 1535.0000 838.0000 1284.0000
11.981400 -1.732000 2254.760498 1536.0000 823.0000 1275.0000
11.987000 -1.694800 2254.738037 1536.0000 824.0000 1297.0000
11.910300 -1.663300 2254.741699 1536.0000 833.0000 1331.0000
11.968600 -1.737400 2254.753906 1537.0000 824.0000 1340.0000
11.964200 -1.723900 2254.747559 1537.0000 825.0000 1318.0000
11.993200 -1.678100 2254.700684 1538.0000 824.0000 1251.0000
11.871700 -1.657500 2254.722900 1538.0000 837.0000 1322.0000
11.868900 -1.663100 2254.713867 1539.0000 837.0000 1342.0000
11.965300 -1.695100 2254.678711 1541.0000 826.0000 1327.0000
11.892800 -1.652900 2254.675049 1541.0000 835.0000 1375.0000
11.886100 -1.644800 2254.672607 1541.0000 836.0000 1390.0000
11.798200 -1.653600 2254.701904 1541.0000 844.0000 893.0000
11.967600 -1.688800 2254.661377 1542.0000 826.0000 1254.0000
11.900800 -1.656700 2254.662109 1542.0000 834.0000 1338.0000
11.885700 -1.668500 2254.672607 1542.0000 835.0000 1309.0000
11.874000 -1.672000 2254.677979 1542.0000 836.0000 1334.0000
11.803300 -1.687100 2254.706055 1542.0000 842.0000 1093.0000
11.792800 -1.687400 2254.708984 1542.0000 843.0000 1220.0000
11.781600 -1.667900 2254.701416 1542.0000 845.0000 1268.0000
11.876300 -1.926100 2254.805176 1543.0000 825.0000 1156.0000
11.954500 -1.695100 2254.655518 1543.0000 827.0000 1360.0000
11.876700 -1.664800 2254.659912 1543.0000 836.0000 1330.0000
11.798400 -1.697400 2254.699951 1543.0000 842.0000 1205.0000
11.807800 -1.652000 2254.672119 1543.0000 843.0000 1262.0000
11.733500 -1.658000 2254.696289 1543.0000 850.0000 1311.0000
11.943500 -1.720000 2254.659180 1544.0000 827.0000 1293.0000
11.950200 -1.680000 2254.635010 1544.0000 828.0000 1306.0000
11.944200 -1.717500 2254.644287 1545.0000 827.0000 1328.0000
11.943200 -1.695700 2254.632568 1545.0000 828.0000 1322.0000
11.938400 -1.683600 2254.627197 1545.0000 829.0000 1292.0000
11.732900 -1.657700 2254.670166 1545.0000 850.0000 1093.0000
11.940300 -1.725700 2254.636963 1546.0000 827.0000 1282.0000
11.938200 -1.706500 2254.626953 1546.0000 828.0000 1312.0000
11.783300 -1.660300 2254.644287 1546.0000 845.0000 1229.0000
11.778300 -1.647900 2254.638916 1546.0000 846.0000 1356.0000
11.766200 -1.651300 2254.644043 1546.0000 847.0000 1371.0000
11.934900 -1.737500 2254.631836 1547.0000 827.0000 1307.0000
11.936000 -1.710700 2254.616699 1547.0000 828.0000 1400.0000
11.928600 -1.680600 2254.602051 1547.0000 830.0000 1301.0000
11.928300 -1.657700 2254.589600 1547.0000 831.0000 1338.0000
11.778200 -1.647200 2254.625488 1547.0000 846.0000 1335.0000
11.739200 -1.711700 2254.671875 1547.0000 847.0000 1040.0000
11.732200 -1.703500 2254.669189 1547.0000 848.0000 639.0000
12.058600 -1.800500 2254.620117 1548.0000 812.0000 1226.0000
12.018700 -1.800200 2254.630615 1548.0000 816.0000 1076.0000
11.942400 -1.718900 2254.606445 1548.0000 827.0000 1190.0000
11.938300 -1.704300 2254.599609 1548.0000 828.0000 1301.0000
11.928000 -1.681100 2254.589600 1548.0000 830.0000 1327.0000
11.761500 -1.684300 2254.637451 1548.0000 846.0000 856.0000
11.943300 -1.715800 2254.591309 1549.0000 827.0000 1171.0000
11.924700 -1.687900 2254.581055 1549.0000 830.0000 1379.0000
11.910900 -1.673100 2254.576904 1549.0000 832.0000 1330.0000
11.806700 -1.649100 2254.592285 1549.0000 843.0000 1331.0000
11.778900 -1.690500 2254.622803 1549.0000 844.0000 1185.0000
11.752900 -1.726900 2254.649902 1549.0000 845.0000 992.0000
11.729600 -1.756200 2254.672607 1549.0000 846.0000 1190.0000
11.874200 -1.924500 2254.711914 1550.0000 825.0000 1248.0000
11.933700 -1.713300 2254.579590 1550.0000 828.0000 1311.0000
11.931200 -1.695800 2254.570801 1550.0000 829.0000 1405.0000
11.925000 -1.686200 2254.566895 1550.0000 830.0000 1329.0000
11.911500 -1.694100 2254.575195 1550.0000 831.0000 1336.0000
11.786300 -1.694900 2254.610107 1550.0000 843.0000 1220.0000
11.744500 -1.768300 2254.661865 1550.0000 844.0000 1334.0000
11.866000 -1.943000 2254.711182 1551.0000 825.0000 1104.0000
11.935100 -1.709200 2254.563965 1551.0000 828.0000 1376.0000
11.930000 -1.697700 2254.559082 1551.0000 829.0000 1353.0000
11.756000 -1.763500 2254.642822 1551.0000 843.0000 1097.0000
11.730600 -1.799300 2254.669434 1551.0000 844.0000 1180.0000
11.723000 -1.793500 2254.668457 1551.0000 845.0000 1408.0000
11.939400 -1.722300 2254.556885 1552.0000 827.0000 1211.0000
11.935600 -1.707100 2254.549561 1552.0000 828.0000 1254.0000
11.929600 -1.697700 2254.546143 1552.0000 829.0000 1321.0000
11.885000 -1.661100 2254.538086 1552.0000 835.0000 1279.0000
11.823700 -1.657000 2254.552734 1552.0000 841.0000 1234.0000
11.770000 -1.754400 2254.620850 1552.0000 842.0000 1126.0000
11.737700 -1.804500 2254.657227 1552.0000 843.0000 1144.0000
11.722200 -1.817600 2254.668701 1552.0000 844.0000 1067.0000
11.955900 -1.658500 2254.504395 1553.0000 828.0000 1106.0000
11.936100 -1.681600 2254.522461 1553.0000 829.0000 1189.0000
11.923600 -1.686900 2254.528809 1553.0000 830.0000 1303.0000
11.865900 -1.657300 2254.528320 1553.0000 837.0000 1374.0000
11.830900 -1.664900 2254.541992 1553.0000 840.0000 1322.0000
11.808700 -1.690500 2254.562256 1553.0000 841.0000 1219.0000
11.734900 -1.834000 2254.660889 1553.0000 842.0000 1174.0000
11.733800 -1.812600 2254.649414 1553.0000 843.0000 1125.0000
11.721100 -1.819200 2254.656738 1553.0000 844.0000 1357.0000
11.930000 -1.695000 2254.518311 1554.0000 829.0000 1230.0000
11.870600 -1.692800 2254.533447 1554.0000 835.0000 1331.0000
11.835400 -1.678300 2254.535156 1554.0000 839.0000 1340.0000
11.826800 -1.673300 2254.534912 1554.0000 840.0000 1336.0000
11.777500 -1.761300 2254.596436 1554.0000 841.0000 1039.0000
11.728800 -1.847100 2254.656494 1554.0000 842.0000 1223.0000
11.723200 -1.813400 2254.639648 1554.0000 844.0000 1314.0000
12.026800 -1.774300 2254.522705 1555.0000 816.0000 1387.0000
12.018400 -1.770200 2254.522705 1555.0000 817.0000 1479.0000
12.011200 -1.764400 2254.521484 1555.0000 818.0000 1435.0000
12.027500 -1.701700 2254.482910 1555.0000 819.0000 1293.0000
11.923100 -1.733800 2254.528564 1555.0000 828.0000 1285.0000
11.867700 -1.721700 2254.537109 1555.0000 834.0000 1339.0000
11.865100 -1.704500 2254.528320 1555.0000 835.0000 1324.0000
11.826100 -1.674100 2254.522461 1555.0000 840.0000 1311.0000
11.749800 -1.824200 2254.625000 1555.0000 841.0000 1084.0000
11.739900 -1.820700 2254.625977 1555.0000 842.0000 1110.0000
11.720400 -1.819000 2254.630371 1555.0000 844.0000 1386.0000
12.045200 -1.800900 2254.519531 1556.0000 813.0000 1187.0000
12.005500 -1.872500 2254.569092 1556.0000 814.0000 1326.0000
12.028600 -1.793000 2254.519531 1556.0000 815.0000 1351.0000
12.023800 -1.780700 2254.514160 1556.0000 816.0000 1370.0000
12.017600 -1.771100 2254.510498 1556.0000 817.0000 1366.0000
12.009500 -1.767500 2254.510742 1556.0000 818.0000 1433.0000
12.003000 -1.759400 2254.508057 1556.0000 819.0000 1392.0000
11.994100 -1.756300 2254.508789 1556.0000 820.0000 1321.0000
11.984300 -1.756100 2254.511230 1556.0000 821.0000 1308.0000
11.831600 -1.685400 2254.514160 1556.0000 839.0000 1255.0000
11.817600 -1.692700 2254.521973 1556.0000 840.0000 1340.0000
11.754300 -1.786700 2254.590332 1556.0000 842.0000 1285.0000
11.727800 -1.823500 2254.617676 1556.0000 843.0000 1325.0000
11.991300 -1.881500 2254.564697 1557.0000 815.0000 1223.0000
12.019600 -1.789800 2254.507080 1557.0000 816.0000 1349.0000
12.015200 -1.776000 2254.500732 1557.0000 817.0000 1311.0000
12.007200 -1.772000 2254.500732 1557.0000 818.0000 1481.0000
12.000600 -1.764200 2254.498291 1557.0000 819.0000 1497.0000
11.993300 -1.757300 2254.496582 1557.0000 820.0000 1363.0000
11.999800 -1.718300 2254.473389 1557.0000 821.0000 1273.0000
11.936900 -1.747200 2254.506104 1557.0000 826.0000 1330.0000
11.924600 -1.752600 2254.512207 1557.0000 827.0000 1326.0000
11.845600 -1.652100 2254.479248 1557.0000 839.0000 1155.0000
11.794100 -1.720500 2254.530518 1557.0000 841.0000 1130.0000
11.749400 -1.797200 2254.584229 1557.0000 842.0000 1221.0000
11.736900 -1.801700 2254.590088 1557.0000 843.0000 1269.0000
12.056800 -1.771000 2254.474121 1558.0000 813.0000 1155.0000
11.998400 -1.887800 2254.553223 1558.0000 814.0000 1196.0000
11.967700 -1.913100 2254.575195 1558.0000 816.0000 1105.0000
12.016900 -1.771000 2254.484619 1558.0000 817.0000 1317.0000
12.004500 -1.777400 2254.491455 1558.0000 818.0000 1361.0000
11.997800 -1.769900 2254.489014 1558.0000 819.0000 1461.0000
12.006900 -1.723900 2254.461670 1558.0000 820.0000 1411.0000
11.938800 -1.764700 2254.502197 1558.0000 825.0000 1339.0000
11.931200 -1.759700 2254.501465 1558.0000 826.0000 1324.0000
11.929700 -1.739500 2254.490723 1558.0000 827.0000 1247.0000
11.919800 -1.738800 2254.493164 1558.0000 828.0000 1289.0000
11.780600 -1.750500 2254.537354 1558.0000 841.0000 1265.0000
12.056800 -1.770200 2254.460693 1559.0000 813.0000 1234.0000
11.975700 -1.917100 2254.562256 1559.0000 815.0000 996.0000
11.970500 -1.857700 2254.531250 1559.0000 818.0000 1281.0000
11.993300 -1.779600 2254.482666 1559.0000 819.0000 1328.0000
11.974300 -1.752000 2254.472656 1559.0000 822.0000 1391.0000
11.945600 -1.747700 2254.478027 1559.0000 825.0000 1310.0000
11.940600 -1.736800 2254.473389 1559.0000 826.0000 1293.0000
11.936200 -1.723400 2254.467285 1559.0000 827.0000 1270.0000
11.930600 -1.712400 2254.462891 1559.0000 828.0000 1269.0000
11.909400 -1.738800 2254.482910 1559.0000 829.0000 1331.0000
11.986600 -1.746800 2254.453613 1560.0000 821.0000 1313.0000
11.950800 -1.734500 2254.456543 1560.0000 825.0000 1387.0000
11.943500 -1.729000 2254.455566 1560.0000 826.0000 1307.0000
11.940200 -1.713200 2254.447754 1560.0000 827.0000 1288.0000
11.932400 -1.707200 2254.446533 1560.0000 828.0000 1247.0000
11.926100 -1.698800 2254.443848 1560.0000 829.0000 1234.0000
11.974000 -1.775900 2254.459717 1561.0000 821.0000 1319.0000
11.950900 -1.733300 2254.442871 1561.0000 825.0000 1378.0000
11.943600 -1.727800 2254.441895 1561.0000 826.0000 1393.0000
11.940300 -1.711900 2254.434082 1561.0000 827.0000 1310.0000
11.933300 -1.704300 2254.431885 1561.0000 828.0000 1237.0000
11.926000 -1.697900 2254.430420 1561.0000 829.0000 1302.0000
11.893100 -1.750800 2254.468018 1561.0000 830.0000 1332.0000
11.891800 -1.706800 2254.444336 1561.0000 832.0000 1170.0000
11.709500 -1.742500 2254.513428 1561.0000 848.0000 1208.0000
11.954200 -1.822000 2254.477051 1562.0000 821.0000 1297.0000
11.957300 -1.789500 2254.458496 1562.0000 822.0000 1279.0000
11.951500 -1.730900 2254.428467 1562.0000 825.0000 1299.0000
11.941700 -1.731300 2254.431396 1562.0000 826.0000 1319.0000
11.939700 -1.712300 2254.421631 1562.0000 827.0000 1283.0000
11.933400 -1.703100 2254.418213 1562.0000 828.0000 1265.0000
11.904300 -1.747900 2254.450195 1562.0000 829.0000 1303.0000
